0,165,42,42,animal--bird
1,0,192,0,animal--ground-animal
2,196,196,196,construction--barrier--curb
3,190,153,153,construction--barrier--fence
4,180,165,180,construction--barrier--guard-rail
5,90,120,150,construction--barrier--other-barrier
6,102,102,156,construction--barrier--wall
7,128,64,255,construction--flat--bike-lane
8,140,140,200,construction--flat--crosswalk-plain
9,170,170,170,construction--flat--curb-cut
10,250,170,160,construction--flat--parking
11,96,96,96,construction--flat--pedestrian-area
12,230,150,140,construction--flat--rail-track
13,128,64,128,construction--flat--road
14,110,110,110,construction--flat--service-lane
15,244,35,232,construction--flat--sidewalk
16,150,100,100,construction--structure--bridge
17,70,70,70,construction--structure--building
18,150,120,90,construction--structure--tunnel
19,220,20,60,human--person
20,255,0,0,human--rider--bicyclist
21,255,0,100,human--rider--motorcyclist
22,255,0,200,human--rider--other-rider
23,200,128,128,marking--crosswalk-zebra
24,255,255,255,marking--general
25,64,170,64,nature--mountain
26,230,160,50,nature--sand
27,70,130,180,nature--sky
28,190,255,255,nature--snow
29,152,251,152,nature--terrain
30,107,142,35,nature--vegetation
31,0,170,30,nature--water
32,255,255,128,object--banner
33,250,0,30,object--bench
34,100,140,180,object--bike-rack
35,220,220,220,object--billboard
36,220,128,128,object--catch-basin
37,222,40,40,object--cctv-camera
38,100,170,30,object--fire-hydrant
39,40,40,40,object--junction-box
40,33,33,33,object--mailbox
41,100,128,160,object--manhole
42,142,0,0,object--phone-booth
43,70,100,150,object--pothole
44,210,170,100,object--street-light
45,153,153,153,object--support--pole
46,128,128,128,object--support--traffic-sign-frame
47,0,0,80,object--support--utility-pole
48,250,170,30,object--traffic-light
49,192,192,192,object--traffic-sign--back
50,220,220,0,object--traffic-sign--front
51,140,140,20,object--trash-can
52,119,11,32,object--vehicle--bicycle
53,150,0,255,object--vehicle--boat
54,0,60,100,object--vehicle--bus
55,0,0,142,object--vehicle--car
56,0,0,90,object--vehicle--caravan
57,0,0,230,object--vehicle--motorcycle
58,0,80,100,object--vehicle--on-rails
59,128,64,64,object--vehicle--other-vehicle
60,0,0,110,object--vehicle--trailer
61,0,0,70,object--vehicle--truck
62,0,0,192,object--vehicle--wheeled-slow
63,32,32,32,void--car-mount
64,120,10,10,void--ego-vehicle
65,0,0,0,void--unlabeled
